,_record_id,_title,_server_updated_at,_created_by,_updated_by,_geometry,_latitude,_longitude,arrival_of_the_freight_vehicle,plates,company_if_visible,visit_purpose,type_of_vehicle,number_of_operators,refrigerated_truck,type_of_cargo,picture_of_the_parked_freight_vehicle,departure_of_the_freight_vehicle,where_was_the_vehicle_parked,while_parked_was_the_engine_running,used_traffic_cone,vehicles_unloading_door,number_of_available_trolleys,serving_customer,garage_blocking,accident,describe_the_accident,noise,traffic_congestion,maximum_number_of_vehicles_in_the_traffic_jam
14,b36fa68a-85e1-4d2c-a491-551c219621de,"2713 Avenida 27 Poniente
Heroica Puebla de Zaragoza Puebla 72410
México",2022-11-19 02:39:02 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2247220352 19.0445684669),19.0445684669,-98.2247220352,17:25,97ap4g,Eristain,Delivery,Heavy duty truck,2,no,motor,2 Photos,17:50,Street - next to the curbside,no,no,Rear,2,4.0,no,no,2.0,yes,no,3.0
15,90f9290c-69f9-47d8-ab90-7a03ea91ed7d,"2325 Avenida 33 Poniente
Heroica Puebla de Zaragoza Puebla
México",2022-11-19 02:39:02 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2233765721 19.0408173025),19.0408173025,-98.2233765721,16:08,Nsl5626,No visible logos,Delivery,Pick-up,3,no,car glass,2 Photos,16:20,Street - next to the curbside,no,no,Side,0,4.0,no,no,2.0,no,no,3.0
16,de042bd7-551e-4e19-bd36-762ebe1d74eb,"3111B Calle 25 Sur
Heroica Puebla de Zaragoza Puebla
México",2022-11-19 02:39:02 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2237172127 19.0410153849),19.0410153849,-98.2237172127,17:04,Sn23230,Gas uribe,Sales & delivery,Heavy duty truck,2,no,Gas,1 Photo,17:20,Double lane,yes,no,Rear,0,4.0,no,no,2.0,yes,yes,15.0
17,4e926dbb-8c46-4e9a-8c0e-2bbc59849beb,"2511 Avenida 33 Poniente
Heroica Puebla de Zaragoza Puebla
México",2022-11-19 02:39:01 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2244373858 19.0413243929),19.0413243929,-98.2244373858,14:06,Sn91376,Estatega,Delivery,Light truck or Van,1,no,tela,2 Photos,14:21,Street - next to the curbside,no,no,Side,0,4.0,yes,no,2.0,no,no,3.0
18,ef493863-cd1c-462c-bbcb-2beda5661ab5,"2527 Avenida 33 Poniente
Heroica Puebla de Zaragoza Puebla
México",2022-11-19 02:39:01 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2250670344 19.0416283295),19.0416283295,-98.2250670344,12:53,Xb62636,Putificadora ander ,Sales & delivery,Pick-up,2,no,"Non-alcoholic beverages (water, soda, etc.)",2 Photos,13:05,Street - next to the curbside,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
19,eae93b98-524f-409f-9756-95f39bbb9c49,"2713 Avenida 33 Poniente
Heroica Puebla de Zaragoza Puebla
México",2022-11-19 02:39:00 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.225950487 19.0420412893),19.0420412893,-98.225950487,17:30,Uhe480a,Automotriz toledo,Delivery,Automobile,1,no,refacciones,1 Photo,17:50,Street - next to the curbside,no,no,Rear,0,4.0,yes,no,2.0,yes,no,3.0
20,37030d0d-4904-493f-9d81-9582bc8b377c,"2907 Avenida 33 Poniente
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:00 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2277365029 19.0429118927),19.0429118927,-98.2277365029,16:43,Wzv6303,Kyocera fm,Delivery,Pick-up,1,no,"Paper Goods (paper towels, toilet paper, etc.)",1 Photo,16:55,Street - next to the curbside,yes,no,Rear,1,4.0,no,no,2.0,no,no,3.0
21,dcd47323-4462-443d-a099-2fc26b9fd2f0,"Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:39:00 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2274310663 19.041807712),19.041807712,-98.2274310663,15:20,6554p # interno DANONE,DANONE a miscelanea maty,Sales & delivery,Automobile,2,no,"Dairy (milk, cheese, etc.)",3 Photos,15:45,Street - next to the curbside,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
22,f9e1d544-7ee7-484d-aa3e-1697dc481154,"Avenida 35 Poniente
Heroica Puebla de Zaragoza Puebla 72400
México",2022-11-19 02:38:59 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2272677869 19.0417417905),19.0417417905,-98.2272677869,16:10,34rb4u,Fotografía el vergel,Delivery,Light truck or Van,1,no,plastic boxes (equipment) and  cardboxes,1 Photo,17:30,Street - next to the curbside,no,no,Side,0,4.0,no,no,2.0,no,no,3.0
23,be1e365d-5a58-44e6-88c5-1db9a4350941,"3502 Calle 27 Sur
Heroica Puebla de Zaragoza Puebla
México",2022-11-19 02:38:59 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2258056477 19.0408920985),19.0408920985,-98.2258056477,12:21,454zys,No visible,Sales (usually small car or motorcycle),Pick-up,1,no,"Non-alcoholic beverages (water, soda, etc.)",3 Photos,12:30,Street - next to the curbside,no,no,Side,0,1.0,yes,no,2.0,no,no,3.0
24,02397e43-4829-4741-a048-156fe5c259f2,"3311 Calle 27 Sur
Heroica Puebla de Zaragoza Puebla
México",2022-11-19 02:38:58 UTC,Gustavo Manzanilla,Gustavo Manzanilla,SRID=4326;POINT(-98.2257412747 19.0412074453),19.0412074453,-98.2257412747,12:14,Muj3826,Articulos de hule puebla,Sales & delivery,Heavy duty truck,2,no,articulos de hule,2 Photos,13:02,Street - next to the curbside,no,no,Rear,1,1.0,yes,no,2.0,no,no,3.0
25,d7662c2b-58c3-4999-8655-c998473418a9,"Ciclovía 2 Sur
Puebla de Zaragoza PUE 72000
MX",2022-11-18 20:48:37 UTC,Uriel Bonilla,Uriel Bonilla,SRID=4326;POINT(-98.1963503167 19.0423183191),19.0423183191,-98.1963503167,16:22,LF42722,Mr.lucky,Delivery,Heavy duty truck,3,yes,"Bakery (bread, cookies, cakes, etc.),Produce (fruits & vegetables)",3 Photos,16:25,Street - next to the curbside,yes,no,Rear,2,1.0,no,no,2.0,yes,yes,3.0
26,bc663d18-afb0-4d91-8559-83cf26034885,"311-A Avenida 8 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:35 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1993785199 19.0487261062),19.0487261062,-98.1993785199,14:57,SN-65-030,Entorno impresión ,Delivery,Light truck or Van,1,no,"Paper Goods (paper towels, toilet paper, etc.)",1 Photo,15:12,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
27,31f1dd29-2bc7-4ec8-bd00-fb3228a642ee,"8 Avenida 8 Oriente
Puebla PUE 72000
MX",2022-11-18 17:24:35 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1964384994 19.0473490037),19.0473490037,-98.1964384994,15:34,SP-14-360,Pepsi,Sales & delivery,Light truck or Van,3,no,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,15:45,Street - next to the curbside,no,no,Rear,2,4.0,no,no,2.0,no,no,3.0
28,d03b13f6-adec-4fda-896b-c5ede653bfdd,"80C Avenida 5 de Mayo
Puebla PUE 72000
MX",2022-11-18 17:24:34 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1963600948 19.0480351673),19.0480351673,-98.1963600948,15:20,SP-13-118,El patio de san Luis ,Sales & delivery,Light truck or Van,2,yes,"Bakery (bread, cookies, cakes, etc.),Meat (beef, poultry, pork, seafood, etc.)",1 Photo,15:39,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
29,6008054f-10c5-411d-8458-2af87ced791f,"7–25 Avenida 10 Oriente
Puebla PUE 72000
MX",2022-11-18 17:24:34 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1963129156 19.0481925477),19.0481925477,-98.1963129156,15:18,SP-14-561,Epura,Delivery,Light truck or Van,2,no,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,15:28,Double lane,no,no,Side,1,4.0,no,no,2.0,no,no,3.0
30,7cf75ce8-0895-4b15-b5e0-552d0f60ed6b,"117 Avenida 10 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:33 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1970228025 19.0485133831),19.0485133831,-98.1970228025,15:23,SN-57-035,J&T Express,Delivery,Light truck or Van,2,no,Electronics ,1 Photo,15:47,Street - next to the curbside,no,no,Rear,1,4.0,no,no,2.0,no,no,3.0
31,7d18b4c5-8c81-49f8-9371-0b53bcf2bf69,"111 Avenida 10 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:32 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1972448156 19.04869169),19.04869169,-98.1972448156,15:21,XB-87-421,5,Delivery,Pick-up,1,no,Nonfood,1 Photo,15:32,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
32,fdd031eb-3abe-4f2f-813c-87d0a56814c5,"315-D Avenida 10 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:31 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1989864913 19.049461945),19.049461945,-98.1989864913,15:16,SN-64-943,Grupo excelencia diagonal,Delivery,Pick-up,1,no,Nonfood,1 Photo,15:31,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
33,9498f27f-2d1b-458a-bfdc-3923a32e3b2d,"514 Avenida 8 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:30 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.2009965555 19.0496978956),19.0496978956,-98.2009965555,15:07,SN-67-149,5,Delivery,Pick-up,3,no,Nonfood,1 Photo,15:18,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
34,570c3951-b85e-4c38-afdd-55480cda33d9,"506 Avenida 8 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:30 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.2003566075 19.0493503362),19.0493503362,-98.2003566075,14:43,SN-64-738,Gas oriente,Delivery,Pick-up,1,no,Nonfood,1 Photo,15:01,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,yes,3.0
35,46d1429d-cc2d-44f8-9adc-5e5fc8da3a60,"305 Avenida 8 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:29 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1993302403 19.0487777287),19.0487777287,-98.1993302403,14:54,PEP-75-70,Carrocería chicano ,Delivery,Light truck or Van,2,no,Nonfood,2 Photos,14:56,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,yes,no,3.0
36,58d12d48-83aa-4fe0-b42a-9425acf5c134,"314 Avenida 8 Poniente
Puebla PUE 72000
MX",2022-11-18 17:24:29 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1990660354 19.0485562837),19.0485562837,-98.1990660354,14:40,LE-61-349,Cooperativo de autotransporte express de carga,Delivery,Light truck or Van,2,no,Nonfood,1 Photo,15:58,Street - next to the curbside,yes,no,Rear,0,4.0,no,no,2.0,yes,no,3.0
37,71baf2d1-fbb8-4e3b-93b6-e540de8afb3b,"801 Calle 3 Norte
Puebla PUE 72000
MX",2022-11-18 17:24:28 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1981829238 19.0485926937),19.0485926937,-98.1981829238,14:43,86-AY-6C,Feljara ,Delivery,Heavy duty truck,1,no,Nonfood,1 Photo,15:05,Street - next to the curbside,no,no,Rear,1,4.0,no,no,2.0,no,no,3.0
38,3720092f-9fc9-4038-91da-7d9f22ca8cea,"601 2 Calle 5 Norte
Puebla PUE 72000
MX",2022-11-18 17:24:27 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.2001090737 19.0486103052),19.0486103052,-98.2001090737,14:27,XXA741B,Coca col,Sales (usually small car or motorcycle),Automobile,1,no,Nonfood,1 Photo,14:40,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
39,b61bc960-9ac5-47fc-9256-1198d3cf89f2,"804 Calle 4 Norte
Puebla PUE 72000
MX",2022-11-18 17:24:27 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1936070696 19.0463827271),19.0463827271,-98.1936070696,16:37,SN-23-119,5,Delivery,Pick-up,2,no,"Dairy (milk, cheese, etc.)",1 Photo,16:45,Street - next to the curbside,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
40,6cf23693-3c91-46a2-a67c-7c613ea1d0ed,"408 Calle 4 Norte
Puebla PUE 72000
MX",2022-11-18 17:24:26 UTC,Juan Chimas,Juan Chimas,SRID=4326;POINT(-98.1943559089 19.0449532354),19.0449532354,-98.1943559089,16:11,LE-32-848,Jumex,Delivery,Light truck or Van,2,yes,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,16:13,Street - next to the curbside,yes,no,Rear,0,4.0,no,no,2.0,yes,no,3.0
41,0370c14a-cc5f-4f50-8c3b-d17d2eea8bb2,"101 Avenida 14 Poniente
Heroica Puebla de Zaragoza Puebla 72000
México",2022-11-17 21:29:12 UTC,Sergio Licea,Sergio Licea,SRID=4326;POINT(-98.1956955045 19.0498619774),19.0498619774,-98.1956955045,15:17,LE46801,Bonafont,Delivery,Light truck or Van,1,no,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,15:25,Double lane,no,no,Rear,0,4.0,no,no,2.0,no,yes,5.0
42,06ad670f-c727-4cee-86d4-770cb596d165,"210 Avenida 8 Oriente
Heroica Puebla de Zaragoza Puebla 72000
México",2022-11-17 21:17:27 UTC,Sergio Licea,Sergio Licea,SRID=4326;POINT(-98.1946175918 19.0464522572),19.0464522572,-98.1946175918,15:06,NKU9817,5,Delivery,SUV,3,no,Nonfood,1 Photo,15:24,Street - next to the curbside,no,no,Rear,0,4.0,yes,no,2.0,no,no,3.0
43,a22c6515-ba79-4f8a-a2d5-aeb489e44950,"217 Avenida 8 Oriente
Heroica Puebla de Zaragoza Puebla 72000
México",2022-11-17 21:04:10 UTC,Sergio Licea,Sergio Licea,SRID=4326;POINT(-98.1942880154 19.0461999877),19.0461999877,-98.1942880154,14:58,SJ63123,Cocacola,Delivery,Light truck or Van,1,no,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,15:01,Dedicated unloading area (Bay),no,no,Side,2,4.0,no,no,2.0,no,no,3.0
44,19c02be3-2bc9-4800-9eea-c4d07e978404,"112 Avenida 2 Poniente
Puebla de Zaragoza PUE 72000
MX",2022-11-17 18:39:11 UTC,Edward González,Edward González,SRID=4326;POINT(-98.1984943897 19.0454041955),19.0454041955,-98.1984943897,11:00,SN34143,5,Delivery,Light truck or Van,2,no,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,11:10,Public parking lot,yes,no,Rear,0,4.0,no,no,2.0,no,no,3.0
45,60504c88-29ea-4323-8b2d-9fa17ef5f635,"307 Avenida 3 Poniente
Puebla de Zaragoza PUE 72000
MX",2022-11-17 18:39:10 UTC,Edward González,Edward González,SRID=4326;POINT(-98.2011457533 19.0447310492),19.0447310492,-98.2011457533,10:55,XB3067A,CocaCola,Delivery,Light truck or Van,1,no,"Non-alcoholic beverages (water, soda, etc.)",2 Photos,11:00,Public parking lot,no,no,Side,1,4.0,no,no,2.0,no,no,3.0
46,36752ecd-6695-4426-b433-31858a894c14,"301 Calle 7 Sur
Puebla de Zaragoza PUE 72000
MX",2022-11-17 18:39:10 UTC,Edward González,Edward González,SRID=4326;POINT(-98.2036288083 19.0459711701),19.0459711701,-98.2036288083,10:38,SW3804D,5,Delivery,Light truck or Van,2,no,Nonfood,1 Photo,10:43,Public parking lot,yes,no,Rear,0,4.0,no,no,2.0,no,no,3.0
47,53da6173-8944-4606-ab4f-c34884d9b268,"508 Calle 3 Sur
Puebla PUE 72000
MX",2022-11-17 17:51:03 UTC,Emilio Garza,Emilio Garza,SRID=4326;POINT(-98.2014234753 19.0430761971),19.0430761971,-98.2014234753,11:25,XB-3067-A,Cocacola ,Sales & delivery,Automobile,1,no,"Non-alcoholic beverages (water, soda, etc.)",1 Photo,11:45,Street - next to the curbside,no,no,Side,0,4.0,no,no,2.0,no,no,3.0
48,c0159a7f-3307-44cd-8bdd-9ac648160283,"303 Calle 3 Sur
Puebla PUE 72000
MX",2022-11-17 17:35:31 UTC,Emilio Garza,Emilio Garza,SRID=4326;POINT(-98.2008047035 19.0441553907),19.0441553907,-98.2008047035,11:32,Sp38651,Gamesa,Delivery,Light truck or Van,2,no,Chips,1 Photo,11:34,Street - next to the curbside,no,no,Side,1,4.0,no,no,2.0,no,no,3.0
49,26dad93a-a5ef-4a55-a3cd-b3ba4c15ad8c,"137 Avenida 3 Oriente
Puebla PUE 72000
MX",2022-11-17 17:25:50 UTC,José Oropeza,José Oropeza,SRID=4326;POINT(-98.2001068359 19.0441607415),19.0441607415,-98.2001068359,11:24,SP-283-40,5,Delivery,Pick-up,2,no,"Paper Goods (paper towels, toilet paper, etc.)",1 Photo,11:35,Street - next to the curbside,no,no,Rear,1,4.0,no,no,2.0,no,no,3.0
50,100a270e-9bf0-4a9a-a5ce-911056ae4e83,"47 Calle Rincón de Londrés
San Bernardino Tlaxcalancingo PUE 72830
MX",2022-11-17 16:52:20 UTC,José López,José López,SRID=4326;POINT(-98.2662270405 19.0040191636),19.0040191636,-98.2662270405,10:49,SN-52-660,Tudogar ,Delivery,Light truck or Van,2,no,House Products ,1 Photo,11:30,Public parking lot,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
51,ac9be72f-ebd7-44c5-a0db-5be8a7aeb5d1,"47 Calle Rincón de Londrés
San Bernardino Tlaxcalancingo PUE 72830
MX",2022-11-17 16:52:04 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,SRID=4326;POINT(-98.2662111042 19.0040275612),19.0040275612,-98.2662111042,09:45,XXC-646-B,La Magenta ,Delivery,Light truck or Van,1,no,Flowers ,1 Photo,10:30,Public parking lot,no,no,Rear,0,4.0,no,no,2.0,no,no,3.0
52,74bbc69a-f57f-4d6b-9653-83f353fc3dd8,"San Bernardino Tlaxcalancingo PUE 72830
MX",2022-11-17 16:46:04 UTC,José López,José López,SRID=4326;POINT(-98.2747797669 18.9992453763),18.9992453763,-98.2747797669,10:28,F69TR,Lulus ,Delivery,Motorcycle,1,no,"Meat (beef, poultry, pork, seafood, etc.)",1 Photo,10:44,Public parking lot,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
53,b4be0a5c-be2b-4d61-815f-b7239e6adf3a,"Boulevard Interamericano
San Bernardino Tlaxcalancingo PUE 72830
MX",2022-11-17 16:41:27 UTC,Mariana Sáenz Gómez Ortigoza,Mariana Sáenz Gómez Ortigoza,SRID=4326;POINT(-98.2745818966 18.9995101317),18.9995101317,-98.2745818966,10:20,SM-67-395,Corona ,Delivery,Heavy duty truck,1,yes,"Alcoholic beverages (beer, liquor, etc.)",1 Photo,10:40,Street - next to the curbside,no,no,Rear,1,1.0,no,no,2.0,no,no,3.0
54,39bad6d5-4754-4e55-8389-1c8d2d5d4f2f,"Boulevard Interamericano
San Bernardino Tlaxcalancingo PUE 72830
MX",2022-11-17 16:34:31 UTC,José López,José López,SRID=4326;POINT(-98.2748416839 18.9996357615),18.9996357615,-98.2748416839,10:32,NW-5910-B,Angelopolis Clínica Veterinaria ,Delivery,Light truck or Van,1,no,Animal Products ,2 Photos,10:50,Public parking lot,no,no,Rear,0,1.0,no,no,2.0,no,no,3.0
